experiment_id,experiment_name,experiment_type,n_msgs,classifier,f05_mean,f05_std,f1_mean,precision_mean,recall_mean,n_total,n_predatory,n_normal,corpus,n_conversations
baseline_full_sem_balanceamento_LinearSVC_5msgs_20260621_202707,baseline_full,sem_balanceamento,5,LinearSVC,0.8331,0.0285,0.7892,0.8652,0.7257,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_MultinomialNB_5msgs_20260621_202708,baseline_full,sem_balanceamento,5,MultinomialNB,0.8367,0.0335,0.7230,0.9347,0.5897,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_LinearSVC_5msgs_20260621_202708,baseline_full,undersampling,5,LinearSVC,0.5083,0.0291,0.6102,0.4574,0.9180,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_MultinomialNB_5msgs_20260621_202708,baseline_full,undersampling,5,MultinomialNB,0.5100,0.0255,0.6157,0.4576,0.9426,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_LinearSVC_10msgs_20260621_202709,baseline_full,sem_balanceamento,10,LinearSVC,0.9070,0.0139,0.8920,0.9174,0.8687,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_MultinomialNB_10msgs_20260621_202710,baseline_full,sem_balanceamento,10,MultinomialNB,0.8878,0.0185,0.7901,0.9680,0.6682,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_LinearSVC_10msgs_20260621_202711,baseline_full,undersampling,10,LinearSVC,0.6362,0.0133,0.7333,0.5847,0.9836,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_MultinomialNB_10msgs_20260621_202711,baseline_full,undersampling,10,MultinomialNB,0.6515,0.0147,0.7431,0.6021,0.9707,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_LinearSVC_15msgs_20260621_202713,baseline_full,sem_balanceamento,15,LinearSVC,0.9411,0.0081,0.9239,0.9530,0.8968,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_MultinomialNB_15msgs_20260621_202714,baseline_full,sem_balanceamento,15,MultinomialNB,0.9134,0.0174,0.8408,0.9695,0.7432,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_LinearSVC_15msgs_20260621_202715,baseline_full,undersampling,15,LinearSVC,0.6939,0.0080,0.7817,0.6456,0.9906,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_MultinomialNB_15msgs_20260621_202715,baseline_full,undersampling,15,MultinomialNB,0.7350,0.0246,0.8120,0.6914,0.9848,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_LinearSVC_20msgs_20260621_202718,baseline_full,sem_balanceamento,20,LinearSVC,0.9545,0.0064,0.9385,0.9656,0.9133,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_MultinomialNB_20msgs_20260621_202720,baseline_full,sem_balanceamento,20,MultinomialNB,0.9342,0.0187,0.8783,0.9759,0.7994,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_LinearSVC_20msgs_20260621_202721,baseline_full,undersampling,20,LinearSVC,0.7394,0.0263,0.8178,0.6951,0.9941,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_MultinomialNB_20msgs_20260621_202721,baseline_full,undersampling,20,MultinomialNB,0.7792,0.0238,0.8465,0.7401,0.9894,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_LinearSVC_24msgs_20260621_202724,baseline_full,sem_balanceamento,24,LinearSVC,0.9587,0.0117,0.9447,0.9684,0.9226,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_MultinomialNB_24msgs_20260621_202727,baseline_full,sem_balanceamento,24,MultinomialNB,0.9403,0.0139,0.8940,0.9740,0.8264,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_LinearSVC_24msgs_20260621_202727,baseline_full,undersampling,24,LinearSVC,0.7754,0.0151,0.8453,0.7348,0.9953,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_MultinomialNB_24msgs_20260621_202728,baseline_full,undersampling,24,MultinomialNB,0.8019,0.0253,0.8628,0.7660,0.9883,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_LinearSVC_50msgs_20260621_202732,baseline_full,sem_balanceamento,50,LinearSVC,0.9670,0.0107,0.9603,0.9717,0.9496,8012,853,7159,pan2012_8012_convs,8012
baseline_full_sem_balanceamento_MultinomialNB_50msgs_20260621_202737,baseline_full,sem_balanceamento,50,MultinomialNB,0.9645,0.0107,0.9502,0.9744,0.9273,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_LinearSVC_50msgs_20260621_202738,baseline_full,undersampling,50,LinearSVC,0.8655,0.0211,0.9110,0.8376,0.9988,8012,853,7159,pan2012_8012_convs,8012
baseline_full_undersampling_MultinomialNB_50msgs_20260621_202739,baseline_full,undersampling,50,MultinomialNB,0.8582,0.0117,0.9060,0.8291,0.9988,8012,853,7159,pan2012_8012_convs,8012
